startValue,endValue,quantity,gids
1730000,1739999,0,[]
1740000,1749999,1,"['12011', 1748066.0, 'Broward County, Florida']"
1750000,1759999,0,[]
1760000,1769999,0,[]
1770000,1779999,0,[]
1780000,1789999,1,"['06085', 1781642.0, 'Santa Clara County, California']"
1790000,1799999,0,[]
1800000,1809999,1,"['48439', 1809034.0, 'Tarrant County, Texas']"
1810000,1819999,0,[]
1820000,1829999,1,"['26163', 1820584.0, 'Wayne County, Michigan']"
1830000,1839999,0,[]
1840000,1849999,0,[]
1850000,1859999,0,[]
1860000,1869999,0,[]
1870000,1879999,0,[]
1880000,1889999,0,[]
1890000,1899999,0,[]
1900000,1909999,0,[]
1910000,1919999,0,[]
1920000,1929999,0,[]
1930000,1939999,1,"['53033', 1931249.0, 'King County, Washington']"
1940000,1949999,0,[]
1950000,1959999,1,"['32003', 1951269.0, 'Clark County, Nevada']"
1960000,1969999,0,[]
1970000,1979999,0,[]
1980000,1989999,0,[]
1990000,1999999,0,[]
2000000,2009999,0,[]
2010000,2019999,0,[]
2020000,2029999,0,[]
2030000,2039999,1,"['06071', 2035210.0, 'San Bernardino County, California']"
2040000,2049999,0,[]
2050000,2059999,0,[]
2060000,2069999,0,[]
2070000,2079999,0,[]
2080000,2089999,0,[]
2090000,2099999,0,[]
2100000,2109999,0,[]
2110000,2119999,0,[]
2120000,2129999,0,[]
2130000,2139999,0,[]
2140000,2149999,0,[]
2150000,2159999,0,[]
2160000,2169999,0,[]
2170000,2179999,0,[]
2180000,2189999,1,"['06065', 2189641.0, 'Riverside County, California']"
2190000,2199999,0,[]
2200000,2209999,0,[]
2210000,2219999,0,[]
2220000,2229999,0,[]
2230000,2239999,1,"['36081', 2230722.0, 'Queens County, New York']"
2240000,2249999,0,[]
2250000,2259999,0,[]
2260000,2269999,0,[]
2270000,2279999,0,[]
2280000,2289999,0,[]
2290000,2299999,0,[]
2300000,2309999,0,[]
2310000,2319999,0,[]
2320000,2329999,0,[]
2330000,2339999,0,[]
2340000,2349999,0,[]
2350000,2359999,0,[]
2360000,2369999,1,"['48113', 2368139.0, 'Dallas County, Texas']"
2370000,2379999,0,[]
2380000,2389999,0,[]
2390000,2399999,0,[]
2400000,2409999,0,[]
2410000,2419999,0,[]
2420000,2429999,0,[]
2430000,2439999,0,[]
2440000,2449999,0,[]
2450000,2459999,0,[]
2460000,2469999,0,[]
2470000,2479999,0,[]
2480000,2489999,0,[]
2490000,2499999,1,"['12086', 2496435.0, 'Miami-Dade County, Florida']"
2500000,2509999,1,"['36047', 2504700.0, 'Kings County, New York']"
2510000,2519999,0,[]
2520000,2529999,0,[]
2530000,2539999,0,[]
2540000,2549999,0,[]
2550000,2559999,0,[]
2560000,2569999,0,[]
2570000,2579999,0,[]
2580000,2589999,0,[]
2590000,2599999,0,[]
2600000,2609999,0,[]
2610000,2619999,0,[]
2620000,2629999,0,[]
2630000,2639999,0,[]
2640000,2649999,0,[]
2650000,2659999,0,[]
2660000,2669999,0,[]
2670000,2679999,0,[]
2680000,2689999,0,[]
2690000,2699999,0,[]
2700000,2709999,0,[]
2710000,2719999,0,[]
2720000,2729999,0,[]
2730000,2739999,0,[]
2740000,2749999,0,[]
2750000,2759999,0,[]
2760000,2769999,0,[]
2770000,2779999,0,[]
2780000,2789999,0,[]
2790000,2799999,0,[]
2800000,2809999,0,[]
2810000,2819999,0,[]
2820000,2829999,0,[]
2830000,2839999,0,[]
2840000,2849999,0,[]
2850000,2859999,0,[]
2860000,2869999,0,[]
2870000,2879999,0,[]
2880000,2889999,0,[]
2890000,2899999,0,[]
2900000,2909999,0,[]
2910000,2919999,0,[]
2920000,2929999,0,[]
2930000,2939999,0,[]
2940000,2949999,0,[]
2950000,2959999,0,[]
2960000,2969999,0,[]
2970000,2979999,0,[]
2980000,2989999,0,[]
2990000,2999999,0,[]
3000000,3009999,0,[]
3010000,3019999,1,"['06059', 3010232.0, 'Orange County, California']"
3020000,3029999,0,[]
3030000,3039999,0,[]
3040000,3049999,0,[]
3050000,3059999,0,[]
3060000,3069999,0,[]
3070000,3079999,0,[]
3080000,3089999,0,[]
3090000,3099999,1,"['06073', 3095313.0, 'San Diego County, California']"
3100000,3109999,0,[]
3110000,3119999,0,[]
3120000,3129999,0,[]
3130000,3139999,0,[]
3140000,3149999,0,[]
3150000,3159999,0,[]
3160000,3169999,0,[]
3170000,3179999,0,[]
3180000,3189999,0,[]
3190000,3199999,0,[]
3200000,3209999,0,[]
3210000,3219999,0,[]
3220000,3229999,0,[]
3230000,3239999,0,[]
3240000,3249999,0,[]
3250000,3259999,0,[]
3260000,3269999,0,[]
3270000,3279999,0,[]
3280000,3289999,0,[]
3290000,3299999,0,[]
3300000,3309999,0,[]
3310000,3319999,0,[]
3320000,3329999,0,[]
3330000,3339999,0,[]
3340000,3349999,0,[]
