startValue,endValue,quantity
0,199,41657
200,399,11927
400,599,7778
600,799,6224
800,999,5486
1000,1199,4954
1200,1399,4759
1400,1599,4550
1600,1799,4570
1800,1999,4395
2000,2199,4300
2200,2399,4363
2400,2599,4206
2600,2799,4070
2800,2999,3954
3000,3199,3854
3200,3399,3750
3400,3599,3570
3600,3799,3529
3800,3999,3375
4000,4199,3382
4200,4399,3095
4400,4599,3124
4600,4799,2953
4800,4999,2822
5000,5199,2848
5200,5399,2626
5400,5599,2460
5600,5799,2397
5800,5999,2234
6000,6199,2153
6200,6399,2019
6400,6599,1926
6600,6799,1886
6800,6999,1799
7000,7199,1640
7200,7399,1657
7400,7599,1514
7600,7799,1413
7800,7999,1349
8000,8199,1254
8200,8399,1122
8400,8599,1088
8600,8799,1073
8800,8999,1023
9000,9199,987
9200,9399,904
9400,9599,902
9600,9799,836
9800,9999,829
10000,10199,716
10200,10399,685
10400,10599,647
10600,10799,655
10800,10999,592
11000,11199,614
11200,11399,536
11400,11599,500
11600,11799,487
11800,11999,456
12000,12199,444
12200,12399,443
12400,12599,366
12600,12799,428
12800,12999,379
13000,13199,374
13200,13399,417
13400,13599,346
13600,13799,323
13800,13999,322
14000,14199,330
14200,14399,313
14400,14599,281
14600,14799,277
14800,14999,298
15000,15199,256
15200,15399,250
15400,15599,274
15600,15799,268
15800,15999,217
16000,16199,258
16200,16399,218
16400,16599,231
16600,16799,200
16800,16999,232
17000,17199,227
17200,17399,198
17400,17599,195
17600,17799,224
17800,17999,187
18000,18199,186
18200,18399,161
18400,18599,160
18600,18799,174
18800,18999,165
19000,19199,173
19200,19399,182
19400,19599,139
19600,19799,154
19800,19999,174
20000,20199,156
20200,20399,144
20400,20599,133
20600,20799,156
20800,20999,140
21000,21199,145
21200,21399,140
21400,21599,121
21600,21799,140
21800,21999,141
22000,22199,128
22200,22399,109
22400,22599,124
22600,22799,133
22800,22999,102
23000,23199,117
23200,23399,114
23400,23599,108
23600,23799,113
23800,23999,108
24000,24199,100
24200,24399,106
24400,24599,112
24600,24799,116
24800,24999,101
25000,25199,103
25200,25399,99
25400,25599,111
25600,25799,116
25800,25999,94
26000,26199,84
26200,26399,77
26400,26599,80
26600,26799,95
26800,26999,106
27000,27199,72
27200,27399,94
27400,27599,85
27600,27799,79
27800,27999,82
28000,28199,96
28200,28399,63
28400,28599,78
28600,28799,69
28800,28999,68
29000,29199,68
29200,29399,62
29400,29599,64
29600,29799,78
29800,29999,57
30000,30199,58
30200,30399,58
30400,30599,89
30600,30799,69
30800,30999,64
31000,31199,56
31200,31399,48
31400,31599,54
31600,31799,56
31800,31999,53
32000,32199,72
32200,32399,55
32400,32599,60
32600,32799,57
32800,32999,51
33000,33199,54
33200,33399,46
33400,33599,46
33600,33799,49
33800,33999,42
34000,34199,54
34200,34399,42
34400,34599,52
34600,34799,42
34800,34999,47
35000,35199,55
35200,35399,50
35400,35599,41
35600,35799,36
35800,35999,35
36000,36199,47
36200,36399,48
36400,36599,29
36600,36799,36
36800,36999,36
37000,37199,40
37200,37399,39
37400,37599,31
37600,37799,44
37800,37999,35
38000,38199,46
38200,38399,37
38400,38599,35
38600,38799,34
38800,38999,23
39000,39199,30
39200,39399,31
39400,39599,33
39600,39799,34
39800,39999,23
40000,40199,27
40200,40399,37
40400,40599,37
40600,40799,43
40800,40999,27
41000,41199,21
41200,41399,20
41400,41599,25
41600,41799,31
41800,41999,26
42000,42199,27
42200,42399,22
42400,42599,30
42600,42799,31
42800,42999,18
43000,43199,23
43200,43399,17
43400,43599,33
43600,43799,25
43800,43999,29
44000,44199,30
44200,44399,21
44400,44599,18
44600,44799,34
44800,44999,27
45000,45199,27
45200,45399,16
45400,45599,23
45600,45799,22
45800,45999,22
46000,46199,17
46200,46399,34
46400,46599,27
46600,46799,15
46800,46999,14
47000,47199,24
47200,47399,20
47400,47599,31
47600,47799,24
47800,47999,16
48000,48199,28
48200,48399,17
48400,48599,17
48600,48799,12
48800,48999,21
49000,49199,24
49200,49399,21
49400,49599,18
49600,49799,23
49800,49999,17
50000,50199,14
50200,50399,20
50400,50599,26
50600,50799,17
50800,50999,18
51000,51199,13
51200,51399,18
51400,51599,14
51600,51799,21
51800,51999,20
52000,52199,13
52200,52399,6
52400,52599,14
52600,52799,21
52800,52999,20
53000,53199,20
53200,53399,22
53400,53599,13
53600,53799,19
53800,53999,14
54000,54199,21
54200,54399,13
54400,54599,13
54600,54799,13
54800,54999,21
55000,55199,15
55200,55399,17
55400,55599,18
55600,55799,18
55800,55999,23
56000,56199,26
56200,56399,11
56400,56599,13
56600,56799,17
56800,56999,12
57000,57199,12
57200,57399,15
57400,57599,21
57600,57799,13
57800,57999,14
58000,58199,16
58200,58399,14
58400,58599,9
58600,58799,14
58800,58999,17
59000,59199,14
59200,59399,19
59400,59599,22
59600,59799,15
59800,59999,16
60000,60199,14
60200,60399,13
60400,60599,13
60600,60799,11
60800,60999,11
61000,61199,16
61200,61399,17
61400,61599,19
61600,61799,17
61800,61999,16
62000,62199,15
62200,62399,13
62400,62599,11
62600,62799,8
62800,62999,10
63000,63199,22
63200,63399,8
63400,63599,12
63600,63799,15
63800,63999,10
64000,64199,13
64200,64399,20
64400,64599,7
64600,64799,9
64800,64999,14
65000,65199,7
65200,65399,13
65400,65599,10
65600,65799,8
65800,65999,14
66000,66199,16
66200,66399,6
66400,66599,17
66600,66799,16
66800,66999,10
67000,67199,9
67200,67399,7
67400,67599,13
67600,67799,12
67800,67999,11
68000,68199,14
68200,68399,13
68400,68599,10
68600,68799,14
68800,68999,20
69000,69199,13
69200,69399,9
69400,69599,11
69600,69799,14
69800,69999,10
70000,70199,10
70200,70399,7
70400,70599,15
70600,70799,3
70800,70999,10
71000,71199,11
71200,71399,10
71400,71599,10
71600,71799,9
71800,71999,11
72000,72199,5
72200,72399,9
72400,72599,5
72600,72799,11
72800,72999,9
73000,73199,9
73200,73399,11
73400,73599,11
73600,73799,9
73800,73999,8
74000,74199,8
74200,74399,7
74400,74599,9
74600,74799,6
74800,74999,8
75000,75199,11
75200,75399,12
75400,75599,10
75600,75799,11
75800,75999,12
76000,76199,7
76200,76399,9
76400,76599,8
76600,76799,14
76800,76999,7
77000,77199,8
77200,77399,8
77400,77599,7
