startValue,endValue,quantity
0,39,6531
40,79,3755
80,119,2330
120,159,1577
160,199,1262
200,239,1074
240,279,928
280,319,849
320,359,696
360,399,652
400,439,615
440,479,586
480,519,540
520,559,559
560,599,515
600,639,495
640,679,496
680,719,466
720,759,470
760,799,425
800,839,412
840,879,434
880,919,394
920,959,392
960,999,386
1000,1039,387
1040,1079,331
1080,1119,354
1120,1159,353
1160,1199,358
1200,1239,388
1240,1279,358
1280,1319,321
1320,1359,340
1360,1399,324
1400,1439,349
1440,1479,340
1480,1519,325
1520,1559,341
1560,1599,308
1600,1639,324
1640,1679,292
1680,1719,306
1720,1759,345
1760,1799,323
1800,1839,315
1840,1879,305
1880,1919,311
1920,1959,333
1960,1999,288
2000,2039,325
2040,2079,314
2080,2119,305
2120,2159,286
2160,2199,286
2200,2239,279
2240,2279,294
2280,2319,326
2320,2359,311
2360,2399,294
2400,2439,299
2440,2479,325
2480,2519,305
2520,2559,330
2560,2599,285
2600,2639,319
2640,2679,294
2680,2719,306
2720,2759,273
2760,2799,266
2800,2839,307
2840,2879,294
2880,2919,274
2920,2959,273
2960,2999,267
3000,3039,304
3040,3079,267
3080,3119,294
3120,3159,261
3160,3199,279
3200,3239,269
3240,3279,278
3280,3319,244
3320,3359,256
3360,3399,270
3400,3439,244
3440,3479,240
3480,3519,254
3520,3559,262
3560,3599,243
3600,3639,247
3640,3679,247
3680,3719,211
3720,3759,260
3760,3799,214
3800,3839,223
3840,3879,241
3880,3919,226
3920,3959,251
3960,3999,219
4000,4039,243
4040,4079,241
4080,4119,215
4120,4159,218
4160,4199,186
4200,4239,218
4240,4279,226
4280,4319,214
4320,4359,201
4360,4399,193
4400,4439,237
4440,4479,152
4480,4519,194
4520,4559,178
4560,4599,193
4600,4639,200
4640,4679,167
4680,4719,174
4720,4759,191
4760,4799,174
4800,4839,175
4840,4879,175
4880,4919,187
4920,4959,177
4960,4999,195
5000,5039,171
5040,5079,177
5080,5119,194
5120,5159,173
5160,5199,147
5200,5239,175
5240,5279,138
5280,5319,168
5320,5359,152
5360,5399,169
5400,5439,175
5440,5479,141
5480,5519,135
5520,5559,146
5560,5599,149
5600,5639,149
5640,5679,135
5680,5719,148
5720,5759,146
5760,5799,141
5800,5839,161
5840,5879,138
5880,5919,132
5920,5959,124
5960,5999,138
6000,6039,128
6040,6079,125
6080,6119,147
6120,6159,134
6160,6199,106
6200,6239,132
6240,6279,129
6280,6319,122
6320,6359,109
6360,6399,102
6400,6439,102
6440,6479,113
6480,6519,99
6520,6559,126
6560,6599,91
6600,6639,97
6640,6679,97
6680,6719,105
6720,6759,99
6760,6799,109
6800,6839,102
6840,6879,103
6880,6919,97
6920,6959,102
6960,6999,77
7000,7039,89
7040,7079,89
7080,7119,93
7120,7159,100
7160,7199,94
7200,7239,92
7240,7279,75
7280,7319,88
7320,7359,84
7360,7399,89
7400,7439,92
7440,7479,69
7480,7519,81
7520,7559,84
7560,7599,60
7600,7639,79
7640,7679,93
7680,7719,91
7720,7759,66
7760,7799,79
7800,7839,72
7840,7879,72
7880,7919,86
7920,7959,81
7960,7999,86
8000,8039,61
8040,8079,74
8080,8119,52
8120,8159,66
8160,8199,61
8200,8239,72
8240,8279,62
8280,8319,59
8320,8359,61
8360,8399,58
8400,8439,76
8440,8479,75
8480,8519,45
8520,8559,58
8560,8599,83
8600,8639,55
8640,8679,61
8680,8719,46
8720,8759,47
8760,8799,53
8800,8839,56
8840,8879,62
8880,8919,45
8920,8959,59
8960,8999,60
9000,9039,59
9040,9079,60
9080,9119,61
9120,9159,53
9160,9199,51
9200,9239,58
9240,9279,48
9280,9319,50
9320,9359,42
9360,9399,38
9400,9439,50
9440,9479,58
9480,9519,49
9520,9559,57
9560,9599,53
9600,9639,47
9640,9679,33
9680,9719,38
9720,9759,50
9760,9799,41
9800,9839,52
9840,9879,39
9880,9919,42
9920,9959,40
9960,9999,47
10000,10039,48
10040,10079,40
10080,10119,47
10120,10159,44
10160,10199,39
10200,10239,36
10240,10279,31
10280,10319,45
10320,10359,36
10360,10399,41
10400,10439,34
10440,10479,31
10480,10519,30
10520,10559,28
10560,10599,38
10600,10639,42
10640,10679,36
10680,10719,37
10720,10759,36
10760,10799,26
10800,10839,36
10840,10879,37
10880,10919,28
10920,10959,38
10960,10999,29
11000,11039,37
11040,11079,37
11080,11119,35
