startValue,endValue,quantity
0,99,1276
100,199,1539
200,299,1328
300,399,1175
400,499,952
500,599,853
600,699,766
700,799,739
800,899,639
900,999,606
1000,1099,549
1100,1199,534
1200,1299,490
1300,1399,449
1400,1499,441
1500,1599,410
1600,1699,388
1700,1799,380
1800,1899,344
1900,1999,316
2000,2099,283
2100,2199,290
2200,2299,249
2300,2399,275
2400,2499,272
2500,2599,232
2600,2699,219
2700,2799,217
2800,2899,202
2900,2999,219
3000,3099,193
3100,3199,178
3200,3299,199
3300,3399,178
3400,3499,177
3500,3599,152
3600,3699,135
3700,3799,145
3800,3899,144
3900,3999,126
4000,4099,139
4100,4199,125
4200,4299,119
4300,4399,136
4400,4499,133
4500,4599,122
4600,4699,120
4700,4799,123
4800,4899,103
4900,4999,115
5000,5099,101
5100,5199,102
5200,5299,105
5300,5399,130
5400,5499,83
5500,5599,95
5600,5699,98
5700,5799,90
5800,5899,119
5900,5999,66
6000,6099,78
6100,6199,79
6200,6299,90
6300,6399,92
6400,6499,65
6500,6599,59
6600,6699,73
6700,6799,81
6800,6899,67
6900,6999,63
7000,7099,76
7100,7199,82
7200,7299,67
7300,7399,67
7400,7499,72
7500,7599,60
7600,7699,89
7700,7799,77
7800,7899,80
7900,7999,67
8000,8099,59
8100,8199,53
8200,8299,43
8300,8399,62
8400,8499,63
8500,8599,46
8600,8699,72
8700,8799,71
8800,8899,45
8900,8999,62
9000,9099,55
9100,9199,44
9200,9299,49
9300,9399,48
9400,9499,47
9500,9599,59
9600,9699,54
9700,9799,50
9800,9899,46
9900,9999,56
10000,10099,49
10100,10199,38
10200,10299,49
10300,10399,41
10400,10499,59
10500,10599,42
10600,10699,41
10700,10799,49
10800,10899,40
10900,10999,44
11000,11099,42
11100,11199,37
11200,11299,40
11300,11399,41
11400,11499,56
11500,11599,37
11600,11699,49
11700,11799,30
11800,11899,37
11900,11999,37
12000,12099,44
12100,12199,45
12200,12299,43
12300,12399,44
12400,12499,40
12500,12599,46
12600,12699,53
12700,12799,36
12800,12899,37
12900,12999,41
13000,13099,26
13100,13199,36
13200,13299,30
13300,13399,36
13400,13499,46
13500,13599,38
13600,13699,36
13700,13799,51
13800,13899,39
13900,13999,42
14000,14099,47
14100,14199,39
14200,14299,36
14300,14399,21
14400,14499,30
14500,14599,31
14600,14699,29
14700,14799,41
14800,14899,33
14900,14999,43
15000,15099,33
15100,15199,35
15200,15299,31
15300,15399,33
15400,15499,32
15500,15599,40
15600,15699,32
15700,15799,38
15800,15899,46
15900,15999,38
16000,16099,32
16100,16199,49
16200,16299,39
16300,16399,33
16400,16499,34
16500,16599,40
16600,16699,38
16700,16799,32
16800,16899,31
16900,16999,33
17000,17099,33
17100,17199,32
17200,17299,43
17300,17399,26
17400,17499,34
17500,17599,30
17600,17699,29
17700,17799,41
17800,17899,27
17900,17999,50
