startValue,endValue,quantity
20150,20199,3
20200,20249,2
20250,20299,2
20300,20349,2
20350,20399,1
20400,20449,1
20450,20499,2
20500,20549,1
20550,20599,0
20600,20649,3
20650,20699,2
20700,20749,3
20750,20799,2
20800,20849,1
20850,20899,1
20900,20949,0
20950,20999,2
21000,21049,0
21050,21099,2
21100,21149,1
21150,21199,1
21200,21249,1
21250,21299,2
21300,21349,1
21350,21399,3
21400,21449,1
21450,21499,1
21500,21549,1
21550,21599,2
21600,21649,3
21650,21699,1
21700,21749,4
21750,21799,2
21800,21849,3
21850,21899,0
21900,21949,2
21950,21999,2
22000,22049,1
22050,22099,1
22100,22149,2
22150,22199,0
22200,22249,3
22250,22299,0
22300,22349,3
22350,22399,2
22400,22449,4
22450,22499,1
22500,22549,1
22550,22599,3
22600,22649,2
22650,22699,2
22700,22749,0
22750,22799,3
22800,22849,3
22850,22899,2
22900,22949,4
22950,22999,3
23000,23049,5
23050,23099,1
23100,23149,2
23150,23199,1
23200,23249,0
23250,23299,1
23300,23349,3
23350,23399,1
23400,23449,3
23450,23499,1
23500,23549,2
23550,23599,1
23600,23649,0
23650,23699,3
23700,23749,3
23750,23799,1
23800,23849,2
23850,23899,2
23900,23949,2
23950,23999,3
24000,24049,1
24050,24099,2
24100,24149,3
24150,24199,2
24200,24249,2
24250,24299,2
24300,24349,0
24350,24399,1
24400,24449,4
24450,24499,2
24500,24549,5
24550,24599,4
24600,24649,3
24650,24699,4
24700,24749,0
24750,24799,0
24800,24849,0
24850,24899,4
24900,24949,0
24950,24999,3
25000,25049,2
25050,25099,3
25100,25149,1
25150,25199,1
25200,25249,1
25250,25299,2
25300,25349,2
25350,25399,3
25400,25449,1
25450,25499,1
25500,25549,1
25550,25599,4
25600,25649,1
25650,25699,0
25700,25749,1
25750,25799,1
25800,25849,1
25850,25899,2
25900,25949,0
25950,25999,2
26000,26049,3
26050,26099,1
26100,26149,1
26150,26199,2
26200,26249,1
26250,26299,2
26300,26349,1
26350,26399,2
26400,26449,1
26450,26499,3
26500,26549,2
26550,26599,2
26600,26649,5
26650,26699,1
26700,26749,2
26750,26799,0
26800,26849,5
26850,26899,4
26900,26949,2
26950,26999,3
27000,27049,0
27050,27099,3
27100,27149,3
27150,27199,0
27200,27249,2
27250,27299,1
27300,27349,1
27350,27399,1
27400,27449,0
27450,27499,1
27500,27549,1
27550,27599,2
27600,27649,2
27650,27699,2
27700,27749,3
27750,27799,2
27800,27849,0
27850,27899,0
27900,27949,1
27950,27999,3
28000,28049,2
28050,28099,2
28100,28149,0
28150,28199,1
28200,28249,1
28250,28299,0
28300,28349,2
28350,28399,2
28400,28449,1
28450,28499,0
28500,28549,3
28550,28599,0
28600,28649,3
28650,28699,0
28700,28749,1
28750,28799,1
28800,28849,2
28850,28899,3
28900,28949,1
28950,28999,2
29000,29049,2
29050,29099,1
29100,29149,1
29150,29199,0
29200,29249,1
29250,29299,1
29300,29349,0
29350,29399,2
29400,29449,1
29450,29499,1
29500,29549,2
29550,29599,1
29600,29649,0
29650,29699,0
29700,29749,3
29750,29799,4
29800,29849,1
29850,29899,4
29900,29949,0
29950,29999,0
30000,30049,1
30050,30099,0
30100,30149,2
30150,30199,1
30200,30249,2
30250,30299,1
30300,30349,1
30350,30399,0
30400,30449,1
30450,30499,1
30500,30549,4
30550,30599,0
30600,30649,0
30650,30699,2
30700,30749,2
30750,30799,2
30800,30849,1
30850,30899,3
30900,30949,2
30950,30999,2
31000,31049,2
31050,31099,2
31100,31149,4
31150,31199,0
31200,31249,3
31250,31299,1
31300,31349,2
31350,31399,0
31400,31449,0
31450,31499,1
31500,31549,0
31550,31599,2
31600,31649,1
31650,31699,3
31700,31749,3
31750,31799,2
31800,31849,1
31850,31899,1
31900,31949,1
31950,31999,0
32000,32049,1
32050,32099,0
32100,32149,3
32150,32199,3
32200,32249,4
32250,32299,3
32300,32349,2
32350,32399,1
32400,32449,2
32450,32499,1
32500,32549,1
32550,32599,2
32600,32649,2
