startValue,endValue,quantity
0,49,49
50,99,14
100,149,12
150,199,9
200,249,12
250,299,12
300,349,22
350,399,37
400,449,41
450,499,41
500,549,119
550,599,231
600,649,328
650,699,485
700,749,513
750,799,624
800,849,655
850,899,666
900,949,730
950,999,746
1000,1049,677
1050,1099,659
1100,1149,665
1150,1199,670
1200,1249,653
1250,1299,544
1300,1349,484
1350,1399,522
1400,1449,484
1450,1499,423
1500,1549,390
1550,1599,351
1600,1649,315
1650,1699,303
1700,1749,248
1750,1799,240
1800,1849,212
1850,1899,158
1900,1949,190
1950,1999,148
2000,2049,165
2050,2099,134
2100,2149,125
2150,2199,110
2200,2249,96
2250,2299,86
2300,2349,73
2350,2399,92
2400,2449,65
2450,2499,54
2500,2549,55
2550,2599,59
2600,2649,49
2650,2699,34
2700,2749,34
2750,2799,40
2800,2849,34
2850,2899,27
2900,2949,24
2950,2999,20
3000,3049,15
3050,3099,7
3100,3149,9
3150,3199,15
3200,3249,7
3250,3299,5
3300,3349,6
3350,3399,9
3400,3449,6
3450,3499,4
3500,3549,6
3550,3599,3
3600,3649,3
3650,3699,5
3700,3749,0
3750,3799,2
3800,3849,1
3850,3899,0
3900,3949,2
3950,3999,0
4000,4049,1
4050,4099,3
4100,4149,1
4150,4199,2
4200,4249,0
4250,4299,1
4300,4349,0
4350,4399,1
4400,4449,0
4450,4499,1
4500,4549,0
4550,4599,3
4600,4649,0
4650,4699,0
4700,4749,0
4750,4799,1
4800,4849,0
4850,4899,0
4900,4949,2
4950,4999,0
5000,5049,1
5050,5099,1
5100,5149,1
5150,5199,1
5200,5249,2
5250,5299,0
5300,5349,1
5350,5399,0
5400,5449,0
5450,5499,0
5500,5549,0
5550,5599,0
5600,5649,0
5650,5699,0
5700,5749,1
5750,5799,0
5800,5849,0
5850,5899,0
5900,5949,0
5950,5999,0
6000,6049,0
6050,6099,0
6100,6149,0
6150,6199,0
6200,6249,0
6250,6299,0
6300,6349,0
6350,6399,0
6400,6449,0
6450,6499,0
6500,6549,1
6550,6599,0
6600,6649,0
6650,6699,0
6700,6749,0
6750,6799,1
6800,6849,0
6850,6899,0
6900,6949,0
6950,6999,0
7000,7049,0
7050,7099,0
7100,7149,0
7150,7199,0
7200,7249,0
7250,7299,0
7300,7349,0
7350,7399,1
7400,7449,0
7450,7499,0
7500,7549,0
7550,7599,0
7600,7649,0
7650,7699,0
7700,7749,0
7750,7799,0
7800,7849,0
7850,7899,0
7900,7949,0
7950,7999,0
8000,8049,0
8050,8099,0
8100,8149,1
8150,8199,0
8200,8249,0
8250,8299,0
8300,8349,0
8350,8399,0
8400,8449,0
8450,8499,0
8500,8549,0
8550,8599,0
8600,8649,0
8650,8699,0
8700,8749,0
8750,8799,0
8800,8849,0
8850,8899,0
8900,8949,0
8950,8999,0
9000,9049,0
9050,9099,0
9100,9149,0
9150,9199,0
9200,9249,0
9250,9299,0
9300,9349,0
9350,9399,0
9400,9449,0
9450,9499,1
9500,9549,0
9550,9599,0
9600,9649,0
9650,9699,0
9700,9749,1
9750,9799,0
9800,9849,0
9850,9899,0
9900,9949,0
9950,9999,0
10000,10049,0
10050,10099,0
10100,10149,0
10150,10199,0
10200,10249,0
10250,10299,0
10300,10349,0
10350,10399,0
10400,10449,0
10450,10499,0
10500,10549,0
10550,10599,0
10600,10649,0
10650,10699,0
10700,10749,0
10750,10799,0
10800,10849,0
10850,10899,0
10900,10949,0
10950,10999,0
11000,11049,0
11050,11099,1
11100,11149,0
11150,11199,0
