startValue,endValue,quantity
0,49,610
50,99,618
100,149,343
150,199,215
200,249,149
250,299,144
300,349,97
350,399,76
400,449,87
450,499,77
500,549,54
550,599,68
600,649,59
650,699,50
700,749,56
750,799,49
800,849,59
850,899,56
900,949,51
950,999,41
1000,1049,52
1050,1099,52
1100,1149,47
1150,1199,54
1200,1249,58
1250,1299,62
1300,1349,53
1350,1399,65
1400,1449,50
1450,1499,51
1500,1549,38
1550,1599,52
1600,1649,45
1650,1699,38
1700,1749,55
1750,1799,42
1800,1849,45
1850,1899,45
1900,1949,46
1950,1999,47
2000,2049,43
2050,2099,38
2100,2149,39
2150,2199,47
2200,2249,38
2250,2299,54
2300,2349,44
2350,2399,38
2400,2449,41
2450,2499,44
2500,2549,33
2550,2599,48
2600,2649,36
2650,2699,40
2700,2749,47
2750,2799,38
2800,2849,40
2850,2899,38
2900,2949,32
2950,2999,35
3000,3049,36
3050,3099,40
3100,3149,42
3150,3199,39
3200,3249,47
3250,3299,43
3300,3349,33
3350,3399,32
3400,3449,31
3450,3499,34
3500,3549,36
3550,3599,40
3600,3649,35
3650,3699,26
3700,3749,37
3750,3799,37
3800,3849,26
3850,3899,26
3900,3949,24
3950,3999,32
4000,4049,29
4050,4099,30
4100,4149,34
4150,4199,29
4200,4249,33
4250,4299,27
4300,4349,29
4350,4399,24
4400,4449,26
4450,4499,23
4500,4549,32
4550,4599,24
4600,4649,25
4650,4699,34
4700,4749,23
4750,4799,41
4800,4849,25
4850,4899,29
4900,4949,33
4950,4999,28
5000,5049,33
5050,5099,26
5100,5149,31
5150,5199,24
5200,5249,19
5250,5299,31
5300,5349,31
5350,5399,32
5400,5449,25
5450,5499,27
5500,5549,25
5550,5599,36
5600,5649,28
5650,5699,31
5700,5749,29
5750,5799,23
5800,5849,19
5850,5899,24
5900,5949,24
5950,5999,28
6000,6049,28
6050,6099,25
6100,6149,29
6150,6199,23
6200,6249,24
6250,6299,22
6300,6349,17
6350,6399,20
6400,6449,19
6450,6499,18
6500,6549,20
6550,6599,19
6600,6649,24
6650,6699,22
6700,6749,22
6750,6799,28
6800,6849,32
6850,6899,21
6900,6949,17
6950,6999,21
7000,7049,20
7050,7099,11
7100,7149,28
7150,7199,16
7200,7249,15
7250,7299,16
7300,7349,23
7350,7399,26
7400,7449,16
7450,7499,24
7500,7549,19
7550,7599,20
7600,7649,29
7650,7699,21
7700,7749,19
7750,7799,22
7800,7849,16
7850,7899,18
7900,7949,19
7950,7999,19
8000,8049,15
8050,8099,22
8100,8149,19
8150,8199,17
8200,8249,25
8250,8299,19
8300,8349,22
8350,8399,20
8400,8449,17
8450,8499,21
8500,8549,10
8550,8599,24
8600,8649,29
8650,8699,23
8700,8749,28
8750,8799,16
8800,8849,17
8850,8899,10
8900,8949,19
8950,8999,18
9000,9049,16
9050,9099,13
9100,9149,22
9150,9199,21
9200,9249,13
9250,9299,18
9300,9349,14
9350,9399,14
9400,9449,18
9450,9499,21
9500,9549,18
9550,9599,12
9600,9649,15
9650,9699,11
9700,9749,16
9750,9799,18
9800,9849,20
9850,9899,16
9900,9949,11
9950,9999,15
10000,10049,13
10050,10099,14
10100,10149,19
10150,10199,15
10200,10249,16
10250,10299,17
10300,10349,11
10350,10399,8
10400,10449,13
10450,10499,13
10500,10549,18
10550,10599,14
10600,10649,13
10650,10699,20
10700,10749,7
10750,10799,12
10800,10849,13
10850,10899,15
10900,10949,10
10950,10999,10
11000,11049,10
11050,11099,14
11100,11149,15
11150,11199,15
11200,11249,14
11250,11299,18
11300,11349,12
11350,11399,5
11400,11449,8
11450,11499,14
11500,11549,13
11550,11599,5
11600,11649,8
11650,11699,13
11700,11749,12
11750,11799,11
11800,11849,10
11850,11899,14
11900,11949,11
11950,11999,14
12000,12049,21
12050,12099,7
12100,12149,13
12150,12199,15
12200,12249,9
12250,12299,5
12300,12349,11
12350,12399,12
12400,12449,7
12450,12499,12
12500,12549,11
12550,12599,6
12600,12649,11
12650,12699,11
12700,12749,14
12750,12799,16
12800,12849,9
12850,12899,6
12900,12949,14
12950,12999,9
13000,13049,8
13050,13099,7
13100,13149,12
13150,13199,7
13200,13249,9
13250,13299,9
13300,13349,12
13350,13399,5
13400,13449,13
13450,13499,3
13500,13549,11
13550,13599,9
13600,13649,9
13650,13699,9
13700,13749,13
13750,13799,6
13800,13849,11
13850,13899,14
13900,13949,5
13950,13999,13
14000,14049,8
14050,14099,9
14100,14149,6
14150,14199,6
14200,14249,4
14250,14299,12
14300,14349,3
14350,14399,11
14400,14449,7
14450,14499,6
14500,14549,7
14550,14599,7
14600,14649,6
14650,14699,8
14700,14749,8
14750,14799,8
14800,14849,5
14850,14899,6
14900,14949,7
14950,14999,4
15000,15049,4
15050,15099,10
15100,15149,8
15150,15199,6
15200,15249,7
15250,15299,8
15300,15349,7
15350,15399,6
15400,15449,8
15450,15499,8
15500,15549,7
15550,15599,5
15600,15649,9
15650,15699,5
15700,15749,10
15750,15799,10
15800,15849,8
15850,15899,4
15900,15949,5
15950,15999,9
16000,16049,6
16050,16099,7
16100,16149,7
16150,16199,8
16200,16249,9
16250,16299,9
16300,16349,6
16350,16399,5
16400,16449,6
16450,16499,8
16500,16549,8
16550,16599,14
16600,16649,6
16650,16699,7
16700,16749,2
16750,16799,6
16800,16849,5
16850,16899,8
16900,16949,3
16950,16999,7
17000,17049,5
17050,17099,3
17100,17149,5
17150,17199,9
17200,17249,4
17250,17299,8
17300,17349,6
17350,17399,6
17400,17449,5
17450,17499,5
17500,17549,5
17550,17599,4
17600,17649,7
17650,17699,7
17700,17749,6
17750,17799,5
17800,17849,4
17850,17899,3
17900,17949,5
17950,17999,6
18000,18049,5
18050,18099,9
18100,18149,3
18150,18199,7
18200,18249,3
18250,18299,5
18300,18349,4
18350,18399,6
18400,18449,7
18450,18499,4
18500,18549,2
18550,18599,4
18600,18649,4
18650,18699,5
18700,18749,3
18750,18799,4
18800,18849,1
18850,18899,0
