startValue,endValue,quantity
0.0,-0.98,12
0.02,-0.96,106
0.04,-0.94,407
0.06,-0.92,774
0.08,-0.9,247
0.1,-0.88,119
0.12,-0.86,80
0.14,-0.84,74
0.16,-0.8200000000000001,69
0.18,-0.8,68
0.2,-0.78,48
0.22,-0.76,48
0.24,-0.74,45
0.26,-0.72,55
0.28,-0.7,45
0.3,-0.6799999999999999,45
0.32,-0.6599999999999999,42
0.34,-0.64,37
0.36,-0.62,23
0.38,-0.6,49
0.4,-0.5800000000000001,37
0.42,-0.56,35
0.44,-0.54,33
0.46,-0.52,26
0.48,-0.5,39
0.5,-0.48,20
0.52,-0.45999999999999996,34
0.54,-0.43999999999999995,27
0.56,-0.42000000000000004,31
0.58,-0.4,34
0.6,-0.38,28
0.62,-0.36,26
0.64,-0.33999999999999997,24
0.66,-0.31999999999999995,25
0.68,-0.29999999999999993,24
0.7000000000000001,-0.28,21
0.72,-0.26,16
0.74,-0.24,23
0.76,-0.21999999999999997,23
0.78,-0.19999999999999996,19
0.8,-0.17999999999999994,24
0.8200000000000001,-0.16000000000000003,19
0.84,-0.14,30
0.86,-0.12,26
0.88,-0.09999999999999998,23
0.9,-0.07999999999999996,32
0.92,-0.05999999999999994,14
0.9400000000000001,-0.040000000000000036,18
0.96,-0.020000000000000018,14
0.98,0.0,11
1.0,0.020000000000000018,12
1.02,0.040000000000000036,11
1.04,0.06000000000000005,16
1.06,0.08000000000000007,19
1.08,0.10000000000000009,16
1.1,0.1200000000000001,17
1.12,0.14000000000000012,9
1.1400000000000001,0.15999999999999992,13
1.16,0.17999999999999994,17
1.18,0.19999999999999996,9
1.2,0.21999999999999997,9
1.22,0.24,14
1.24,0.26,8
1.26,0.28,6
1.28,0.30000000000000004,7
1.3,0.32000000000000006,14
1.32,0.3400000000000001,14
1.34,0.3600000000000001,14
1.36,0.3800000000000001,8
1.3800000000000001,0.40000000000000013,9
1.4000000000000001,0.41999999999999993,8
1.42,0.43999999999999995,7
1.44,0.45999999999999996,12
1.46,0.48,8
1.48,0.5,6
1.5,0.52,7
