startValue,endValue,quantity
0,49,30
50,99,7
100,149,3
150,199,4
200,249,2
250,299,0
300,349,4
350,399,1
400,449,2
450,499,3
500,549,1
550,599,2
600,649,1
650,699,1
700,749,2
750,799,2
800,849,0
850,899,1
900,949,1
950,999,4
1000,1049,7
1050,1099,10
1100,1149,15
1150,1199,15
1200,1249,16
1250,1299,16
1300,1349,18
1350,1399,25
1400,1449,21
1450,1499,32
1500,1549,36
1550,1599,33
1600,1649,26
1650,1699,37
1700,1749,37
1750,1799,34
1800,1849,38
1850,1899,29
1900,1949,40
1950,1999,50
2000,2049,34
2050,2099,58
2100,2149,56
2150,2199,47
2200,2249,36
2250,2299,47
2300,2349,50
2350,2399,57
2400,2449,44
2450,2499,41
2500,2549,65
2550,2599,61
2600,2649,53
2650,2699,52
2700,2749,51
2750,2799,55
2800,2849,38
2850,2899,50
2900,2949,57
2950,2999,47
3000,3049,54
3050,3099,61
3100,3149,48
3150,3199,42
3200,3249,49
3250,3299,43
3300,3349,47
3350,3399,67
3400,3449,63
3450,3499,51
3500,3549,68
3550,3599,61
3600,3649,61
3650,3699,44
3700,3749,61
3750,3799,59
3800,3849,59
3850,3899,53
3900,3949,68
3950,3999,45
4000,4049,52
4050,4099,48
4100,4149,50
4150,4199,39
4200,4249,58
4250,4299,60
4300,4349,49
4350,4399,50
4400,4449,55
4450,4499,51
4500,4549,40
4550,4599,48
4600,4649,42
4650,4699,35
4700,4749,33
4750,4799,40
4800,4849,35
4850,4899,33
4900,4949,39
4950,4999,40
5000,5049,31
5050,5099,37
5100,5149,34
5150,5199,35
5200,5249,34
5250,5299,37
5300,5349,43
5350,5399,36
5400,5449,36
5450,5499,35
5500,5549,28
5550,5599,33
5600,5649,22
5650,5699,22
5700,5749,27
5750,5799,18
5800,5849,20
5850,5899,24
5900,5949,22
5950,5999,21
6000,6049,25
6050,6099,17
6100,6149,22
6150,6199,29
6200,6249,21
6250,6299,17
6300,6349,14
6350,6399,28
6400,6449,24
6450,6499,27
6500,6549,12
6550,6599,19
6600,6649,14
6650,6699,7
6700,6749,18
6750,6799,19
6800,6849,19
6850,6899,11
6900,6949,14
6950,6999,18
7000,7049,13
7050,7099,14
7100,7149,10
7150,7199,11
7200,7249,7
